Akropolis	/demo/logos/akropolis.png
Die Brennerei	/demo/logos/die_brennerei.png
Due Sicilie	/demo/logos/due_sicilie.jpg
Fischerhäusl	/demo/logos/fischerhaeusl.jpg
Gaia Cuisine	/demo/logos/gaia_cuisine.jpg
Gasthof Weisses Rössl	/demo/logos/gasthof_weisses_roessl.svg
Goldener Adler Restaurant	/demo/logos/goldener_adler_restaurant.png
Goldenes Dachl Restaurant	/demo/logos/goldenes_dachl_restaurant.svg
Himal Nepali Kitchen	/demo/logos/himal_nepali_kitchen.png
Indisches Restaurant Rama	/demo/logos/indisches_restaurant_rama.png
Kaukas Restaurant	/demo/logos/kaukas_restaurant.png
L'Osteria Innsbruck	/demo/logos/losteria.webp
Sensei	/demo/logos/sensei.png
Stiftskeller Innsbruck	/demo/logos/stiftskeller_innsbruck.png
TAJ Indisches Restaurant	/demo/logos/taj_indisches_restaurant.jpg
Teppan Wok	/demo/logos/teppan_wok.png
Vapiano Innsbruck Triumphpforte	/demo/logos/vapiano.jpg
Wirtshaus Schöneck	/demo/logos/wirtshaus_schoeneck.png
die Wilderin	/demo/logos/die_wilderin.jpg
