Akropolis	Chicken Souvlaki	https://images.pexels.com/photos/32754748/pexels-photo-32754748.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Akropolis	Falafel Wrap	https://images.pexels.com/photos/33337332/pexels-photo-33337332.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Akropolis	Hummus Plate	https://images.pexels.com/photos/4899785/pexels-photo-4899785.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Akropolis	Baklava	https://images.pexels.com/photos/36879793/pexels-photo-36879793.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Akropolis	Köfte Plate	https://images.pexels.com/photos/6161666/pexels-photo-6161666.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Die Brennerei	Chicken Adobo	https://images.pexels.com/photos/10748639/pexels-photo-10748639.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Die Brennerei	Lumpia	https://images.pexels.com/photos/17582436/pexels-photo-17582436.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Die Brennerei	Pancit Canton	https://images.pexels.com/photos/4518665/pexels-photo-4518665.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Die Brennerei	Halo-Halo Cup	https://images.pexels.com/photos/33990956/pexels-photo-33990956.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Die Brennerei	Pork Tocino Bowl	https://images.pexels.com/photos/31299642/pexels-photo-31299642.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Due Sicilie	Caprese	https://images.pexels.com/photos/34636894/pexels-photo-34636894.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Due Sicilie	Penne Arrabbiata	https://images.pexels.com/photos/5211210/pexels-photo-5211210.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Due Sicilie	Pizza Margherita	https://images.pexels.com/photos/31450849/pexels-photo-31450849.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
Due Sicilie	Pizza Diavola	https://images.pexels.com/photos/7813574/pexels-photo-7813574.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200
